,total_trades,wins,losses,win_rate,year_pl,cumulative_pl,avg_win,avg_loss,max_win,max_loss,profit_factor,max_drawdown,year_return,max_win_streak,max_loss_streak,trades_per_month,gross_profit,gross_loss
2015,179,83,96,46.36871508379888,282.14999999999964,282.14999999999964,9.94156626506039,-5.656250000000132,25.200000000000728,-15.700000000000728,1.5196132596684955,73.75000000000364,0.2821499999999942,4,7,14.916666666666666,825.1500000000124,543.0000000000127
2016,194,93,101,47.93814432989691,241.350000000004,523.5000000000036,8.494623655913998,-5.43217821782176,42.79999999999927,-17.199999999999818,1.4398979312858926,49.099999999996726,0.24067094692326185,6,7,16.166666666666668,790.0000000000018,548.6499999999978
2017,199,85,114,42.71356783919598,184.40000000001783,707.9000000000215,8.703529411764826,-4.871929824561336,29.19999999999709,-19.19999999999891,1.332012963629853,50.850000000000364,0.1834396932060894,8,9,16.583333333333332,739.8000000000102,555.3999999999924
2018,197,80,117,40.609137055837564,253.00000000002547,960.9000000000469,11.698125000000164,-5.83632478632468,43.89999999999782,-21.75,1.3705059676356888,81.39999999999782,0.2512216022775066,5,8,16.416666666666668,935.8500000000131,682.8499999999876
2019,181,79,102,43.646408839779006,391.649999999996,1352.550000000043,13.579746835442982,-6.6779411764705845,36.099999999998545,-21.599999999998545,1.5749834838141323,108.54999999999927,0.38792245314769774,11,12,15.083333333333334,1072.7999999999956,681.1499999999996
2020,183,92,91,50.27322404371585,923.4499999999916,2276.0000000000346,19.03804347826089,-9.099450549450662,46.29999999999927,-23.649999999999636,2.115210434152503,88.00000000000364,0.911126557743226,7,9,15.25,1751.5000000000018,828.0500000000102
2021,184,69,115,37.5,82.09999999999127,2358.100000000026,19.558695652173718,-11.021304347826046,42.099999999998545,-24.950000000000728,1.0647757307980525,183.10000000000218,0.08027298681996875,8,11,15.333333333333334,1349.5499999999865,1267.4499999999953
2022,183,72,111,39.34426229508197,428.199999999948,2786.299999999974,23.348611111110586,-11.287387387387515,46.5,-24.850000000002183,1.3417671003271954,92.5000000000091,0.4183352367814109,4,7,15.25,1681.0999999999622,1252.9000000000142
2023,193,89,104,46.1139896373057,513.2999999999774,3299.5999999999513,16.998876404494318,-9.611538461538622,42.30000000000291,-23.799999999999272,1.5135054021608332,91.70000000000073,0.49938561851139107,6,8,16.083333333333332,1512.8999999999942,999.6000000000167
2024,181,65,116,35.91160220994475,-6.80000000000291,3292.7999999999483,22.643846153845963,-12.746982758620607,43.5,-25.0,0.9954012105636878,196.14999999999418,-0.006582794125052676,5,12,15.083333333333334,1471.8499999999876,1478.6499999999905
2025,20,6,14,30.0,-21.350000000013097,3271.4499999999352,26.233333333332364,-12.767857142857663,48.599999999998545,-21.150000000001455,0.8805594405593722,98.65000000000146,-0.02066939806066428,3,7,1.6666666666666667,157.39999999999418,178.75000000000728
